timestamp_us,opcode,latency_us,bytes_sent,bytes_recv,cache
1762970894857472,GETATTR,14624,13,152,none
1762970894959115,GETATTR,100191,31,152,none
1762970895157652,UNLINK,51526,31,8,none
1762970895245588,GETATTR,86897,31,8,none
1762970895335440,CREATE,88853,39,16,none
1762970895430123,GETATTR,93834,31,152,none
1762970895522482,RELEASE,91255,16,8,none
1762970895636411,OPEN,92742,35,16,none
1762970895868871,WRITE_BATCH,224455,1048604,12,none
1762970896072284,WRITE_BATCH,195737,1048604,12,none
1762970896301196,WRITE_BATCH,224138,1048604,12,none
1762970896482310,WRITE_BATCH,178298,1048604,12,none
1762970896650582,GETATTR,57587,17,8,none
1762970896699984,WRITE_BATCH,214476,1048604,12,none
1762970896761115,GETATTR,109182,17,8,none
1762970896902347,READDIR,139985,13,139,none
1762970896912275,WRITE_BATCH,207949,1048604,12,none
1762970897077917,GETATTR,174611,25,152,none
1762970897178809,WRITE_BATCH,262946,1048604,12,none
1762970897227623,GETATTR,147967,23,8,none
1762970897355992,GETATTR,126610,39,152,none
1762970897378896,WRITE_BATCH,193940,1048604,12,none
1762970897504636,GETATTR,146723,30,152,none
1762970897578998,WRITE_BATCH,194737,1048604,12,none
1762970897641022,GETATTR,135216,21,152,none
1762970897769102,WRITE_BATCH,187063,1048604,12,none
1762970897769575,GETATTR,127180,21,152,none
1762970897896262,GETATTR,126199,17,152,none
1762970897965589,WRITE_BATCH,193303,1048604,12,none
1762970898033793,GETATTR,136045,22,8,none
1762970898148806,GETATTR,113598,22,8,none
1762970898151985,WRITE_BATCH,182723,1048604,12,none
1762970898297121,READDIR,146895,17,60,none
1762970898345583,WRITE_BATCH,191085,1048604,12,none
1762970898425492,GETATTR,126790,38,152,none
1762970898548932,GETATTR,122260,28,8,none
1762970898549795,WRITE_BATCH,200502,1048604,12,none
1762970898679296,GETATTR,129133,48,152,none
1762970898775409,WRITE_BATCH,222700,1048604,12,none
1762970898811236,GETATTR,131197,23,152,none
1762970898929690,GETATTR,117677,28,8,none
1762970898975513,WRITE_BATCH,196147,1048604,12,none
1762970899052799,GETATTR,122138,28,8,none
1762970899172226,READDIR,118006,23,77,none
1762970899176081,WRITE_BATCH,196651,1048604,12,none
1762970899312665,GETATTR,139532,31,152,none
1762970899366070,WRITE_BATCH,186417,1048604,12,none
1762970899426738,GETATTR,112236,34,8,none
1762970899556187,WRITE_BATCH,187890,1048604,12,none
1762970899559083,GETATTR,131173,36,8,none
1762970899707709,GETATTR,147963,36,8,none
1762970899752008,WRITE_BATCH,192726,1048604,12,none
1762970899816254,READDIR,107670,31,99,none
1762970899946570,GETATTR,129178,50,152,none
1762970899949262,WRITE_BATCH,194100,1048604,12,none
1762970900080672,GETATTR,132779,42,8,none
1762970900135352,WRITE_BATCH,183773,1048604,12,none
1762970900194715,GETATTR,113073,48,152,none
1762970900318876,WRITE_BATCH,181309,1048604,12,none
1762970900319846,GETATTR,123680,54,152,none
1762970900457814,GETATTR,136246,42,152,none
1762970900516274,WRITE_BATCH,193284,1048604,12,none
1762970900576722,GETATTR,118032,52,152,none
1762970900699226,GETATTR,121366,33,152,none
1762970900702278,WRITE_BATCH,182390,1048604,12,none
1762970900841881,GETATTR,141919,28,152,none
1762970900905249,WRITE_BATCH,197681,1048604,12,none
1762970900960228,GETATTR,117002,33,8,none
1762970901088786,GETATTR,127161,33,8,none
1762970901102034,WRITE_BATCH,194044,1048604,12,none
1762970901244843,READDIR,155020,28,37,none
1762970901289191,WRITE_BATCH,184575,1048604,12,none
1762970901397916,GETATTR,152101,38,152,none
1762970901475359,WRITE_BATCH,183126,1048604,12,none
1762970901590256,GETATTR,190954,39,8,none
1762970901679611,WRITE_BATCH,200578,1048604,12,none
1762970901721743,GETATTR,130247,43,8,none
1762970901865513,GETATTR,142480,43,8,none
1762970901875812,WRITE_BATCH,193086,1048604,12,none
1762970902020219,READDIR,152032,38,51,none
1762970902073887,WRITE_BATCH,194150,1048604,12,none
1762970902161515,GETATTR,140385,55,152,none
1762970902283633,WRITE_BATCH,206832,1048604,12,none
1762970902284323,GETATTR,121081,49,8,none
1762970902436532,GETATTR,151498,55,152,none
1762970902486938,WRITE_BATCH,201277,1048604,12,none
1762970902576291,GETATTR,137514,47,152,none
1762970902725583,WRITE_BATCH,235120,1048604,12,none
1762970902727082,GETATTR,148879,36,152,none
1762970902859786,GETATTR,131311,41,8,none
1762970902915622,WRITE_BATCH,186260,1048604,12,none
1762970902981786,GETATTR,120801,41,8,none
1762970903105565,WRITE_BATCH,186880,1048604,12,none
1762970903108836,READDIR,124441,36,35,none
1762970903259235,GETATTR,149761,44,152,none
1762970903299154,WRITE_BATCH,190913,1048604,12,none
1762970903398437,GETATTR,137789,47,8,none
1762970903486358,WRITE_BATCH,183759,1048604,12,none
1762970903558041,GETATTR,158585,49,8,none
1762970903675533,GETATTR,116094,49,8,none
1762970903678717,WRITE_BATCH,188620,1048604,12,none
1762970903816378,READDIR,139334,44,23,none
1762970903868977,WRITE_BATCH,187054,1048604,12,none
1762970903934350,GETATTR,117086,59,152,none
1762970904052409,GETATTR,116545,55,8,none
1762970904053175,WRITE_BATCH,180913,1048604,12,none
1762970904191924,GETATTR,137328,44,152,none
1762970904245886,WRITE_BATCH,189817,1048604,12,none
1762970904304620,GETATTR,111660,49,8,none
1762970904448873,GETATTR,143042,49,8,none
1762970904449906,WRITE_BATCH,200809,1048604,12,none
1762970904584191,READDIR,133485,44,41,none
1762970904628883,WRITE_BATCH,175600,1048604,12,none
1762970904708840,GETATTR,123898,50,152,none
1762970904801907,WRITE_BATCH,170622,1048604,12,none
1762970904838181,GETATTR,128464,55,8,none
1762970904975338,WRITE_BATCH,171266,1048604,12,none
1762970904975815,GETATTR,136524,55,8,none
1762970905176159,GETATTR,199861,55,8,none
1762970905228680,WRITE_BATCH,250790,1048604,12,none
1762970905289632,READDIR,111419,50,151,none
1762970905442597,GETATTR,151563,73,152,none
1762970905443277,WRITE_BATCH,211672,1048604,12,none
1762970905595665,GETATTR,151806,61,8,none
1762970905627067,WRITE_BATCH,180815,1048604,12,none
1762970905686584,GETATTR,89346,63,152,none
1762970905720107,RELEASE,91952,16,8,none
1762970905779815,GETATTR,91784,65,152,none
1762970905876087,GETATTR,94582,76,152,none
1762970905940472,GETATTR,51340,13,152,none
1762970905972711,GETATTR,95709,63,152,none
1762970906069551,GETATTR,95996,66,152,none
1762970906166921,GETATTR,96436,63,152,none
1762970906242597,OPEN,48451,34,16,none
1762970906264668,GETATTR,96938,74,152,none
1762970906375809,GETATTR,109246,50,152,none
1762970906548872,GETATTR,171612,55,8,none
1762970906704870,GETATTR,154673,55,8,none
1762970906893323,READDIR,187159,50,93,none
1762970907138618,GETATTR,244211,72,152,none
1762970907349185,READ,1097835,28,10485768,miss
1762970907351867,GETATTR,211323,61,8,none
1762970907379253,READ,0,0,0,hit
1762970907379715,READ,0,0,0,hit
1762970907379803,READ,0,0,0,hit
1762970907379883,READ,0,0,0,hit
1762970907379963,READ,0,0,0,hit
1762970907380074,READ,0,0,0,hit
1762970907380154,READ,0,0,0,hit
1762970907380238,READ,0,0,0,hit
1762970907380323,READ,0,0,0,hit
1762970907380400,READ,0,0,0,hit
1762970907380477,READ,0,0,0,hit
1762970907380555,READ,0,0,0,hit
1762970907380634,READ,0,0,0,hit
1762970907380715,READ,0,0,0,hit
1762970907380794,READ,0,0,0,hit
1762970907380870,READ,0,0,0,hit
1762970907380948,READ,0,0,0,hit
1762970907381030,READ,0,0,0,hit
1762970907381106,READ,0,0,0,hit
1762970907381188,READ,0,0,0,hit
1762970907381265,READ,0,0,0,hit
1762970907381345,READ,0,0,0,hit
1762970907381427,READ,0,0,0,hit
1762970907381510,READ,0,0,0,hit
1762970907381591,READ,0,0,0,hit
1762970907381673,READ,0,0,0,hit
1762970907381751,READ,0,0,0,hit
1762970907381828,READ,0,0,0,hit
1762970907381904,READ,0,0,0,hit
1762970907381979,READ,0,0,0,hit
1762970907382057,READ,0,0,0,hit
1762970907382132,READ,0,0,0,hit
1762970907382207,READ,0,0,0,hit
1762970907382283,READ,0,0,0,hit
1762970907382357,READ,0,0,0,hit
1762970907382431,READ,0,0,0,hit
1762970907382504,READ,0,0,0,hit
1762970907382579,READ,0,0,0,hit
1762970907382653,READ,0,0,0,hit
1762970907382728,READ,0,0,0,hit
1762970907382802,READ,0,0,0,hit
1762970907382877,READ,0,0,0,hit
1762970907382952,READ,0,0,0,hit
1762970907383026,READ,0,0,0,hit
1762970907383099,READ,0,0,0,hit
1762970907383173,READ,0,0,0,hit
1762970907383249,READ,0,0,0,hit
1762970907383324,READ,0,0,0,hit
1762970907383415,READ,0,0,0,hit
1762970907383490,READ,0,0,0,hit
